Method,L,10^1 eV,10^2 eV,10^3 eV,10^4 eV,10^5 eV,10^6 eV,10^7 eV,10^8 eV
PS Method Drift,8,33223600.0,3321310.0,331796.0,33073.4,3273.26,315.959,30.063,
PS Method Drift,6,44301000.0,4429310.0,442680.0,44188.7,4393.72,431.28,40.1607,
PS Method Drift,5,53162600.0,5315600.0,531351.0,53069.2,5286.07,522.049,50.1578,
PS Method Drift,4,66454600.0,6644930.0,664326.0,66380.1,6621.53,657.08,64.295,5.93968
PS Method Drift,3,88607500.0,8860360.0,885911.0,88551.9,8843.03,880.721,87.1828,8.61759
PS Method Drift,2,132913000.0,13291000.0,1329020.0,132876.0,13279.9,1325.97,132.374,13.5305
PS Method Drift,1,265827000.0,26582600.0,2658220.0,265810.0,26578.1,2657.76,266.62,27.7176
Analytical Drift,8,33161503.890461255,3316150.532206686,331615.21248112066,33161.68027933808,3316.3270453057453,331.7916380727794,33.33726340710638,3.4839079681805463
Analytical Drift,6,44215338.520615004,4421534.042942248,442153.6166414942,44215.5737057841,4421.769393740993,442.3888507637058,44.449684542808505,4.645210624240728
Analytical Drift,5,53058406.22473801,5305840.851530698,530584.3399697932,53058.688446940934,5306.1232724891925,530.866620916447,53.339621451370206,5.574252749088874
Analytical Drift,4,66323007.78092251,6632301.064413372,663230.4249622413,66323.36055867616,6632.654090611491,663.5832761455588,66.67452681421275,6.9678159363610925
Analytical Drift,3,88430677.04123001,8843068.085884497,884307.2332829884,88431.1474115682,8843.538787481986,884.7777015274116,88.89936908561701,9.290421248481456
Analytical Drift,2,132646015.56184502,13264602.128826745,1326460.8499244826,132646.7211173523,13265.308181222981,1327.1665522911176,133.3490536284255,13.935631872722185
Analytical Drift,1,265292031.12369004,26529204.25765349,2652921.6998489653,265293.4422347046,26530.616362445962,2654.333104582235,266.698107256851,27.87126374544437
PS Method Bounce,8,3461.81,1095.06,346.631,109.955,35.1054,11.4072,5.42945,
PS Method Bounce,6,2596.2,821.135,259.809,82.3025,26.1689,8.41351,2.76293,
PS Method Bounce,5,2163.45,684.225,216.454,68.5319,21.7545,6.96066,2.28938,
PS Method Bounce,4,1730.72,547.345,173.128,54.7906,17.3688,5.53456,1.78993,0.5169
PS Method Bounce,3,1298.02,410.488,129.826,41.0725,13.0062,4.1308,1.32375,0.432646
PS Method Bounce,2,865.337,273.649,86.5408,27.3719,8.66109,2.74419,0.873066,0.281169
PS Method Bounce,1,432.666,136.822,43.2675,13.683,4.32762,1.36918,0.433638,0.13779
Analytical Bounce,8,3439.68696478103,1087.724600310924,343.96896794548445,108.7733207504887,34.399618426547754,10.885936886066695,3.4671179419234237,1.1728002009041705
Analytical Bounce,6,2579.7652235857727,815.793450233193,257.97672595911337,81.57999056286653,25.799713819910814,8.16445266455002,2.6003384564425676,0.8796001506781279
Analytical Bounce,5,2149.804352988144,679.8278751943274,214.9806049659278,67.98332546905543,21.499761516592347,6.803710553791684,2.1669487137021397,0.7330001255651065
Analytical Bounce,4,1719.843482390515,543.862300155462,171.98448397274223,54.38666037524435,17.199809213273877,5.442968443033347,1.7335589709617119,0.5864001004520852
Analytical Bounce,3,1289.8826117928863,407.8967251165965,128.98836297955668,40.789995281433264,12.899856909955407,4.08222633227501,1.3001692282212838,0.43980007533906396
Analytical Bounce,2,859.9217411952575,271.931150077731,85.99224198637111,27.193330187622173,8.599904606636938,2.7214842215166737,0.8667794854808559,0.2932000502260426
Analytical Bounce,1,429.96087059762874,135.9655750388655,42.996120993185556,13.596665093811087,4.299952303318469,1.3607421107583368,0.43338974274042796,0.1466000251130213
